id,label,heuristicLabel,processType,stepCount,communities,entryPointId,terminalId
"proc_0_categorycontroller","CategoryController → HttpRequest","CategoryController → HttpRequest","cross_community",7,"['comm_12','comm_56','comm_1','comm_24','comm_3']","Function:src/controllers/anime.controller.js:categoryController","Function:src/providers/http-client.js:httpRequest"
"proc_1_categorycontroller","CategoryController → ProviderError","CategoryController → ProviderError","cross_community",8,"['comm_12','comm_56','comm_1','comm_24','comm_3','comm_2']","Function:src/controllers/anime.controller.js:categoryController","Class:src/errors/index.js:ProviderError"
"proc_2_categorycontroller","CategoryController → RateLimitError","CategoryController → RateLimitError","cross_community",8,"['comm_12','comm_56','comm_1','comm_24','comm_3']","Function:src/controllers/anime.controller.js:categoryController","Class:src/errors/index.js:RateLimitError"
"proc_3_categorycontroller","CategoryController → TimeoutError","CategoryController → TimeoutError","cross_community",8,"['comm_12','comm_56','comm_1','comm_24','comm_3']","Function:src/controllers/anime.controller.js:categoryController","Class:src/errors/index.js:TimeoutError"
"proc_4_categorycontroller","CategoryController → ParseBody","CategoryController → ParseBody","cross_community",8,"['comm_12','comm_56','comm_1','comm_24','comm_3']","Function:src/controllers/anime.controller.js:categoryController","Function:src/providers/http-client.js:parseBody"
"proc_5_streamresolvecontrol","StreamResolveController → AsHttpUrl","StreamResolveController → AsHttpUrl","cross_community",8,"['comm_4','comm_20','comm_19','comm_18']","Function:src/controllers/streaming.controller.js:streamResolveController","Function:src/normalizers/megaplay-normalizer.js:asHttpUrl"
"proc_6_streamresolvecontrol","StreamResolveController → FirstString","StreamResolveController → FirstString","cross_community",8,"['comm_4','comm_20','comm_19','comm_18']","Function:src/controllers/streaming.controller.js:streamResolveController","Function:src/normalizers/megaplay-normalizer.js:firstString"
"proc_7_categorycontroller","CategoryController → BuildUrl","CategoryController → BuildUrl","cross_community",7,"['comm_12','comm_56','comm_1','comm_24']","Function:src/controllers/anime.controller.js:categoryController","Method:src/providers/base-provider.js:BaseProvider.buildUrl#1"
"proc_8_streamresolvecontrol","StreamResolveController → Push","StreamResolveController → Push","cross_community",7,"['comm_4','comm_20','comm_19','comm_18']","Function:src/controllers/streaming.controller.js:streamResolveController","Function:src/normalizers/megaplay-normalizer.js:collectSources.push@123:2"
"proc_9_categorycontroller","CategoryController → _buildPageVariables","CategoryController → _buildPageVariables","cross_community",6,"['comm_12','comm_56']","Function:src/controllers/anime.controller.js:categoryController","Method:src/providers/anilist/anilist.provider.js:AnilistProvider._buildPageVariables#2"
"proc_10_categorycontroller","CategoryController → NotFoundError","CategoryController → NotFoundError","cross_community",6,"['comm_12','comm_56','comm_1']","Function:src/controllers/anime.controller.js:categoryController","Class:src/errors/index.js:NotFoundError"
"proc_11_detailscontroller","DetailsController → ValidationError","DetailsController → ValidationError","cross_community",6,"['comm_13','comm_4']","Function:src/controllers/anime.controller.js:detailsController","Class:src/errors/index.js:ValidationError"
"proc_12_detailscontroller","DetailsController → NormalizeId","DetailsController → NormalizeId","cross_community",6,"['comm_13','comm_14']","Function:src/controllers/anime.controller.js:detailsController","Function:src/identity/id-types.js:normalizeId"
"proc_13_streamresolvecontrol","StreamResolveController → IsExplicitNoStream","StreamResolveController → IsExplicitNoStream","cross_community",6,"['comm_4','comm_20','comm_19']","Function:src/controllers/streaming.controller.js:streamResolveController","Function:src/normalizers/megaplay-normalizer.js:isExplicitNoStream"
"proc_14_streamresolvecontrol","StreamResolveController → IsHtml","StreamResolveController → IsHtml","cross_community",6,"['comm_4','comm_20','comm_19']","Function:src/controllers/streaming.controller.js:streamResolveController","Function:src/normalizers/megaplay-normalizer.js:isHtml"
"proc_15_streamresolvecontrol","StreamResolveController → NoStream","StreamResolveController → NoStream","cross_community",6,"['comm_4','comm_20','comm_19']","Function:src/controllers/streaming.controller.js:streamResolveController","Function:src/normalizers/megaplay-normalizer.js:noStream"
"proc_16_detailscontroller","DetailsController → AnimeFullPath","DetailsController → AnimeFullPath","intra_community",5,"['comm_13']","Function:src/controllers/anime.controller.js:detailsController","Function:src/providers/jikan/jikan.queries.js:animeFullPath"
"proc_17_detailscontroller","DetailsController → _timeoutOptions","DetailsController → _timeoutOptions","cross_community",5,"['comm_13','comm_23']","Function:src/controllers/anime.controller.js:detailsController","Method:src/providers/jikan/jikan.provider.js:JikanProvider._timeoutOptions#0"
"proc_18_topsearchcontroller","TopSearchController → IntOrNull","TopSearchController → IntOrNull","cross_community",5,"['comm_12','comm_14']","Function:src/controllers/search.controller.js:topSearchController","Function:src/normalizers/anime.normalizer.js:intOrNull"
"proc_19_streamresolvecontrol","StreamResolveController → ParseExpiryMs","StreamResolveController → ParseExpiryMs","cross_community",5,"['comm_4','comm_20']","Function:src/controllers/streaming.controller.js:streamResolveController","Function:src/streaming/stream-resolver.js:parseExpiryMs"
"proc_20_enrichwithtmdb","EnrichWithTmdb → ExtractYear","EnrichWithTmdb → ExtractYear","cross_community",5,"['comm_13','comm_21','comm_22']","Function:src/services/tmdb.service.js:enrichWithTmdb","Function:src/normalizers/tmdb.normalizer.js:extractYear"
"proc_21_enrichwithtmdb","EnrichWithTmdb → NumberOrNull","EnrichWithTmdb → NumberOrNull","cross_community",5,"['comm_13','comm_21','comm_22']","Function:src/services/tmdb.service.js:enrichWithTmdb","Function:src/normalizers/tmdb.normalizer.js:numberOrNull"
"proc_22_enrichwithtmdb","EnrichWithTmdb → Str","EnrichWithTmdb → Str","cross_community",5,"['comm_13','comm_21','comm_22']","Function:src/services/tmdb.service.js:enrichWithTmdb","Function:src/normalizers/tmdb.normalizer.js:str"
"proc_23_categorycontroller","CategoryController → AllowedCategories","CategoryController → AllowedCategories","intra_community",4,"['comm_12']","Function:src/controllers/anime.controller.js:categoryController","Function:src/services/category.service.js:allowedCategories"
"proc_24_categorycontroller","CategoryController → NormalizeCategoryType","CategoryController → NormalizeCategoryType","intra_community",4,"['comm_12']","Function:src/controllers/anime.controller.js:categoryController","Function:src/services/category.service.js:normalizeCategoryType"
"proc_25_homecontroller","HomeController → CurrentSeason","HomeController → CurrentSeason","intra_community",4,"['comm_16']","Function:src/controllers/home.controller.js:homeController","Function:src/services/home.service.js:currentSeason"
"proc_26_streamresolvecontrol","StreamResolveController → IsUsableStreamResult","StreamResolveController → IsUsableStreamResult","cross_community",4,"['comm_4','comm_20']","Function:src/controllers/streaming.controller.js:streamResolveController","Function:src/normalizers/megaplay-normalizer.js:isUsableStreamResult"
"proc_27_streamresolvecontrol","StreamResolveController → StreamCacheKey","StreamResolveController → StreamCacheKey","cross_community",4,"['comm_4','comm_20']","Function:src/controllers/streaming.controller.js:streamResolveController","Function:src/streaming/stream-resolver.js:streamCacheKey"
"proc_28_normalizeanilistpage","NormalizeAnilistPage → Str","NormalizeAnilistPage → Str","intra_community",4,"['comm_14']","Function:src/normalizers/anime.normalizer.js:normalizeAnilistPage","Function:src/normalizers/anime.normalizer.js:str"
