from,to,type,confidence,reason,step,staticGated
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.amp","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.lt","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.gt","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.quot","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.apos","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.nbsp","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.mdash","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.ndash","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.hellip","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.lsquo","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.rsquo","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.ldquo","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:src/utils/html.js:HTML_ENTITIES","Property:src/utils/html.js:HTML_ENTITIES.rdquo","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
"Const:tests/normalizer.test.js:fullMedia","Property:tests/normalizer.test.js:fullMedia.id","HAS_PROPERTY",1,"object literal member belongs to exported object binding",0,0
