from,to,type,confidence,reason,step,staticGated
"File:src/providers/anilist/anilist.provider.js","Class:src/providers/anilist/anilist.provider.js:AnilistProvider","DEFINES",1,"",0,0
"File:src/identity/identity-resolver.js","Class:src/identity/identity-resolver.js:IdentityResolver","DEFINES",1,"",0,0
"File:src/providers/tmdb/tmdb.provider.js","Class:src/providers/tmdb/tmdb.provider.js:TmdbProvider","DEFINES",1,"",0,0
"File:src/errors/index.js","Class:src/errors/index.js:ValidationError","DEFINES",1,"",0,0
"File:src/errors/index.js","Class:src/errors/index.js:NotFoundError","DEFINES",1,"",0,0
"File:src/errors/index.js","Class:src/errors/index.js:NotImplementedError","DEFINES",1,"",0,0
"File:src/errors/index.js","Class:src/errors/index.js:ProviderError","DEFINES",1,"",0,0
"File:src/errors/index.js","Class:src/errors/index.js:TimeoutError","DEFINES",1,"",0,0
"File:src/errors/index.js","Class:src/errors/index.js:RateLimitError","DEFINES",1,"",0,0
"File:src/errors/index.js","Class:src/errors/index.js:CacheError","DEFINES",1,"",0,0
"File:src/errors/index.js","Class:src/errors/index.js:InternalError","DEFINES",1,"",0,0
"File:src/providers/jikan/jikan.provider.js","Class:src/providers/jikan/jikan.provider.js:JikanProvider","DEFINES",1,"",0,0
"File:src/streaming/stream-resolver.js","Class:src/streaming/stream-resolver.js:StreamResolver","DEFINES",1,"",0,0
"File:src/providers/megaplay/megaplay.provider.js","Class:src/providers/megaplay/megaplay.provider.js:MegaplayProvider","DEFINES",1,"",0,0
"File:src/providers/base-provider.js","Class:src/providers/base-provider.js:BaseProvider","DEFINES",1,"",0,0
"File:src/errors/app-error.js","Class:src/errors/app-error.js:AppError","DEFINES",1,"",0,0
"File:scripts/tmdb-smoke.js","Class:src/providers/tmdb/tmdb.provider.js:TmdbProvider","CALLS",0.85,"import-resolved",0,0
"File:src/identity/identity-resolver.js","Class:src/identity/identity-resolver.js:IdentityResolver","CALLS",0.85,"local-call",0,0
"File:src/providers/index.js","Class:src/providers/anilist/anilist.provider.js:AnilistProvider","CALLS",0.85,"import-resolved",0,0
"File:src/providers/index.js","Class:src/providers/jikan/jikan.provider.js:JikanProvider","CALLS",0.85,"import-resolved",0,0
"File:src/providers/index.js","Class:src/providers/tmdb/tmdb.provider.js:TmdbProvider","CALLS",0.85,"import-resolved",0,0
"File:src/providers/index.js","Class:src/providers/megaplay/megaplay.provider.js:MegaplayProvider","CALLS",0.85,"import-resolved",0,0
"File:src/streaming/stream-resolver.js","Class:src/streaming/stream-resolver.js:StreamResolver","CALLS",0.85,"local-call",0,0
"File:tests/anilist-provider.test.js","Class:src/providers/anilist/anilist.provider.js:AnilistProvider","CALLS",0.85,"import-resolved",0,0
"File:tests/jikan-provider.test.js","Class:src/providers/jikan/jikan.provider.js:JikanProvider","CALLS",0.85,"import-resolved",0,0
"File:tests/stream-resolver.test.js","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"File:tests/tmdb-provider.test.js","Class:src/providers/tmdb/tmdb.provider.js:TmdbProvider","CALLS",0.85,"import-resolved",0,0
