from,to,type,confidence,reason,step,staticGated
"File:tests/stream-resolver.test.js","Method:tests/stream-resolver.test.js:fakeMegaplay.resolveByAnilistId@46:4#2","DEFINES",1,"",0,0
"File:tests/stream-resolver.test.js","Method:tests/stream-resolver.test.js:fakeMegaplay.resolveByMalId@50:4#2","DEFINES",1,"",0,0
"File:tests/stream-resolver.test.js","Method:tests/stream-resolver.test.js:fakeIdentity.resolveAniListToMal@62:4#1","DEFINES",1,"",0,0
"File:tests/stream-resolver.test.js","Method:tests/stream-resolver.test.js:fakeL2.get@85:4#1","DEFINES",1,"",0,0
"File:tests/stream-resolver.test.js","Method:tests/stream-resolver.test.js:fakeL2.set@88:4#3","DEFINES",1,"",0,0
"File:tests/stream-resolver.test.js","Method:tests/stream-resolver.test.js:fakeL2.delete@97:4#1","DEFINES",1,"",0,0
"File:tests/stream-resolver.test.js","Method:tests/stream-resolver.test.js:fakeL2.clear@100:4#0","DEFINES",1,"",0,0
"File:scripts/anilist-smoke.js","Method:src/providers/anilist/anilist.provider.js:AnilistProvider.getAnimeById#1","CALLS",0.85,"import-resolved",0,0
"File:scripts/jikan-smoke.js","Method:src/providers/jikan/jikan.provider.js:JikanProvider.getAnimeByMalId#2","CALLS",0.85,"import-resolved",0,0
"File:scripts/tmdb-smoke.js","Method:src/providers/tmdb/tmdb.provider.js:TmdbProvider.isConfigured#0","CALLS",0.85,"import-resolved",0,0
"File:scripts/tmdb-smoke.js","Method:src/providers/tmdb/tmdb.provider.js:TmdbProvider.searchTv#2","CALLS",0.85,"import-resolved",0,0
"File:tests/anilist-provider.test.js","Method:src/providers/anilist/anilist.provider.js:AnilistProvider.getAnimeById#1","CALLS",0.85,"import-resolved",0,0
"File:tests/anilist-provider.test.js","Method:src/providers/anilist/anilist.provider.js:AnilistProvider.getAnimeByMalId#1","CALLS",0.85,"import-resolved",0,0
