from,to,type,confidence,reason,step,staticGated
"Folder:src","Folder:src/config","CONTAINS",1,"",0,0
"Folder:src","Folder:src/controllers","CONTAINS",1,"",0,0
"Folder:src","Folder:src/errors","CONTAINS",1,"",0,0
"Folder:src","Folder:src/identity","CONTAINS",1,"",0,0
"Folder:src","Folder:src/middleware","CONTAINS",1,"",0,0
"Folder:src","Folder:src/normalizers","CONTAINS",1,"",0,0
"Folder:src","Folder:src/providers","CONTAINS",1,"",0,0
"Folder:src/providers","Folder:src/providers/anilist","CONTAINS",1,"",0,0
"Folder:src/providers","Folder:src/providers/jikan","CONTAINS",1,"",0,0
"Folder:src/providers","Folder:src/providers/megaplay","CONTAINS",1,"",0,0
"Folder:src/providers","Folder:src/providers/tmdb","CONTAINS",1,"",0,0
"Folder:src","Folder:src/routes","CONTAINS",1,"",0,0
"Folder:src","Folder:src/services","CONTAINS",1,"",0,0
"Folder:src","Folder:src/streaming","CONTAINS",1,"",0,0
"Folder:src","Folder:src/utils","CONTAINS",1,"",0,0
"Folder:supabase","Folder:supabase/migrations","CONTAINS",1,"",0,0
"Folder:tests","Folder:tests/helpers","CONTAINS",1,"",0,0
