from,to,type,confidence,reason,step,staticGated
"Function:src/controllers/jikan.controller.js:jikanFromAnilistController","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
"Function:src/identity/id-types.js:parseRequiredId","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/identity/id-types.js:createAnimeIdentity","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/identity/id-types.js:parseIdentityType","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/identity/id-types.js:createIdentityResult","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/identity/identity-resolver.js:requirePayloadId","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Function:src/middleware/error-handler.js:errorHandler","Class:src/errors/index.js:InternalError","CALLS",0.85,"import-resolved",0,0
"Function:src/middleware/not-found.js:notFoundHandler","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
"Function:src/middleware/not-implemented.js:notImplemented","Class:src/errors/index.js:NotImplementedError","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.merge.js:mergeJikanIntoCanonical","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.merge.js:mergeTmdbIntoCanonical","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistPage","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAnime","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeJikanAnime","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeJikanPage","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeJikanEpisodes","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Function:src/providers/http-client.js:httpRequest","Class:src/errors/index.js:RateLimitError","CALLS",0.85,"import-resolved",0,0
"Function:src/providers/http-client.js:httpRequest","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Function:src/providers/http-client.js:httpRequest","Class:src/errors/index.js:TimeoutError","CALLS",0.85,"import-resolved",0,0
"Function:src/providers/megaplay/megaplay.queries.js:normalizeLanguage","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/providers/megaplay/megaplay.queries.js:normalizeEpisode","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/providers/megaplay/megaplay.queries.js:buildStreamPath","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/services/anime.service.js:validateSearchOptions","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/services/category.service.js:resolveCategoryOptions","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/services/jikan.service.js:searchAnime","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/services/schedule.service.js:requireEpoch","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/services/schedule.service.js:getAiringSchedule","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/services/tmdb.service.js:enrichWithTmdb","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/utils/query.js:firstString","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:src/utils/query.js:optionalInt","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Function:tests/identity-resolver.test.js:buildResolver","Class:src/providers/anilist/anilist.provider.js:AnilistProvider","CALLS",0.85,"import-resolved",0,0
"Function:tests/identity-resolver.test.js:buildResolver","Class:src/identity/identity-resolver.js:IdentityResolver","CALLS",0.85,"import-resolved",0,0
"Function:tests/megaplay-provider.test.js:makeProvider","Class:src/providers/megaplay/megaplay.provider.js:MegaplayProvider","CALLS",0.85,"import-resolved",0,0
"Function:tests/stream-resolver.test.js:makeResolver","Class:src/streaming/stream-resolver.js:StreamResolver","CALLS",0.85,"import-resolved",0,0
"Function:tests/stream-resolver.test.js:fn@183:86.anilist@185:4","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
