from,to,type,confidence,reason,step,staticGated
"Function:scripts/supabase-smoke.js:assertLike","comm_7","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:scripts/supabase-smoke.js:assertOk","comm_8","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/app.js:createApp","comm_9","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/config/env.js:coerce","comm_10","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/config/env.js:getRedactedConfig","comm_11","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/config/env.js:loadConfig","comm_10","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/config/env.js:toNumber","comm_10","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/anime.controller.js:categoryController","comm_12","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/anime.controller.js:detailsController","comm_13","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/anime.controller.js:episodesController","comm_13","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/anime.controller.js:recommendationsController","comm_1","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/anime.controller.js:seasonsController","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/health.controller.js:healthController","comm_15","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/home.controller.js:homeController","comm_16","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/jikan.controller.js:jikanAnimeController","comm_13","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/jikan.controller.js:jikanFromAnilistController","comm_13","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/schedule.controller.js:scheduleController","comm_12","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/search.controller.js:searchController","comm_12","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/search.controller.js:topSearchController","comm_12","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/streaming.controller.js:streamResolveController","comm_4","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/controllers/tmdb.controller.js:tmdbController","comm_13","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/identity/id-types.js:createAnimeIdentity","comm_4","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/identity/id-types.js:createIdentityResult","comm_2","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/identity/id-types.js:normalizeId","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/identity/id-types.js:parseIdentityType","comm_4","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/identity/id-types.js:parseRequiredId","comm_13","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/identity/identity-resolver.js:requirePayloadId","comm_2","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/middleware/error-handler.js:errorHandler","comm_0","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/middleware/not-found.js:notFoundHandler","comm_1","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/middleware/not-implemented.js:notImplemented","comm_0","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/middleware/request-id.js:requestId","comm_9","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/middleware/request-logger.js:requestLogger","comm_9","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.merge.js:fillArray","comm_17","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.merge.js:fillScalar","comm_17","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.merge.js:isCanonicalAnime","comm_17","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.merge.js:isJikanNormalized","comm_17","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.merge.js:mergeJikanIntoCanonical","comm_17","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.merge.js:mergeTmdbIntoCanonical","comm_17","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:createBaseAnime","comm_4","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:displayTitleFromRaw","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:intOrNull","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:jikanNameList","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAiringSchedule","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistAnime","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistImages","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistMediaCard","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistPage","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistRecommendations","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistRelation","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeAnilistTitle","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeFuzzyDate","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeJikanAired","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
"Function:src/normalizers/anime.normalizer.js:normalizeJikanAnime","comm_14","MEMBER_OF",1,"leiden-algorithm",0,0
