from,to,type,confidence,reason,step,staticGated
"Function:src/services/anime.service.js:getFullDetails","Function:src/services/jikan.service.js:getAnimeByMalId","CALLS",0.85,"import-resolved",0,0
"Function:src/services/anime.service.js:getFullDetails","Function:src/services/tmdb.service.js:enrichWithTmdb","CALLS",0.85,"import-resolved",0,0
"Function:src/services/anime.service.js:getAnimeEpisodes","Function:src/services/jikan.service.js:getEpisodes","CALLS",0.85,"import-resolved",0,0
"Function:src/app.js:createApp","Function:src/middleware/request-id.js:requestId","CALLS",0.85,"import-resolved",0,0
"Function:src/app.js:createApp","Function:src/middleware/request-logger.js:requestLogger","CALLS",0.85,"import-resolved",0,0
"Function:src/app.js:createApp","Function:src/routes/index.js:registerRoutes","CALLS",0.85,"import-resolved",0,0
"Function:src/config/env.js:loadConfig","Function:src/config/env.js:coerce","CALLS",0.85,"local-call",0,0
"Function:src/controllers/anime.controller.js:detailsController","Function:src/services/anime.service.js:getFullDetails","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/anime.controller.js:episodesController","Function:src/services/anime.service.js:getAnimeEpisodes","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/anime.controller.js:episodesController","Function:src/utils/query.js:optionalInt","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/anime.controller.js:recommendationsController","Function:src/services/anime.service.js:getAnimeRecommendations","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/anime.controller.js:seasonsController","Function:src/services/anime.service.js:getAnimeSeasons","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/anime.controller.js:categoryController","Function:src/services/category.service.js:getCategory","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/anime.controller.js:categoryController","Function:src/utils/query.js:firstString","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/anime.controller.js:categoryController","Function:src/utils/query.js:optionalInt","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/health.controller.js:healthController","Function:src/services/health.service.js:getHealthStatus","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/home.controller.js:homeController","Function:src/services/home.service.js:getHomeFeed","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/jikan.controller.js:jikanAnimeController","Function:src/services/jikan.service.js:getAnimeByMalId","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/jikan.controller.js:jikanAnimeController","Function:src/identity/id-types.js:parseRequiredId","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/jikan.controller.js:jikanFromAnilistController","Function:src/identity/id-types.js:parseRequiredId","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/jikan.controller.js:jikanFromAnilistController","Function:src/services/jikan.service.js:getAnimeByMalId","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/schedule.controller.js:scheduleController","Function:src/services/schedule.service.js:getAiringSchedule","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/schedule.controller.js:scheduleController","Function:src/utils/query.js:optionalInt","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/search.controller.js:searchController","Function:src/services/anime.service.js:searchAnime","CALLS",0.85,"import-resolved",0,0
"Function:src/controllers/search.controller.js:searchController","Function:src/utils/query.js:firstString","CALLS",0.85,"import-resolved",0,0
