from,to,type,confidence,reason,step,staticGated
"Function:src/controllers/anime.controller.js:categoryController","proc_0_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",1,0
"Function:src/services/category.service.js:getCategory","proc_0_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",2,0
"Function:src/services/anime.service.js:searchAnime","proc_0_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",3,0
"Function:src/providers/http-client.js:httpRequest","proc_0_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",7,0
"Function:src/controllers/anime.controller.js:categoryController","proc_1_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",1,0
"Function:src/services/category.service.js:getCategory","proc_1_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",2,0
"Function:src/services/anime.service.js:searchAnime","proc_1_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",3,0
"Function:src/providers/http-client.js:httpRequest","proc_1_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",7,0
"Function:src/controllers/anime.controller.js:categoryController","proc_2_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",1,0
"Function:src/services/category.service.js:getCategory","proc_2_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",2,0
"Function:src/services/anime.service.js:searchAnime","proc_2_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",3,0
"Function:src/providers/http-client.js:httpRequest","proc_2_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",7,0
"Function:src/controllers/anime.controller.js:categoryController","proc_3_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",1,0
"Function:src/services/category.service.js:getCategory","proc_3_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",2,0
"Function:src/services/anime.service.js:searchAnime","proc_3_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",3,0
"Function:src/providers/http-client.js:httpRequest","proc_3_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",7,0
"Function:src/controllers/anime.controller.js:categoryController","proc_4_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",1,0
"Function:src/services/category.service.js:getCategory","proc_4_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",2,0
"Function:src/services/anime.service.js:searchAnime","proc_4_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",3,0
