from,to,type,confidence,reason,step,staticGated
"Function:src/identity/id-types.js:parseIdentityType","Property:src/config/constants.js:ID_TYPES.ANILIST","ACCESSES",1,"read",0,0
"Function:src/identity/id-types.js:parseIdentityType","Property:src/config/constants.js:ID_TYPES.MAL","ACCESSES",1,"read",0,0
"Function:src/providers/megaplay/megaplay.queries.js:normalizeLanguage","Property:src/config/constants.js:STREAM_LANGUAGES.SUB","ACCESSES",1,"read",0,0
"Function:src/providers/megaplay/megaplay.queries.js:normalizeLanguage","Property:src/config/constants.js:STREAM_LANGUAGES.SUB","ACCESSES",1,"read",0,0
"Function:src/providers/megaplay/megaplay.queries.js:normalizeLanguage","Property:src/config/constants.js:STREAM_LANGUAGES.DUB","ACCESSES",1,"read",0,0
"Function:src/providers/megaplay/megaplay.queries.js:normalizeEpisode","Property:src/config/constants.js:STREAM_LIMITS.MAX_EPISODE","ACCESSES",1,"read",0,0
"Function:src/providers/megaplay/megaplay.queries.js:normalizeEpisode","Property:src/config/constants.js:STREAM_LIMITS.MAX_EPISODE","ACCESSES",1,"read",0,0
"Function:src/providers/megaplay/megaplay.queries.js:buildAniListStreamUrl","Property:src/config/constants.js:STREAM_LANGUAGES.SUB","ACCESSES",1,"read",0,0
"Function:src/providers/megaplay/megaplay.queries.js:buildMalStreamUrl","Property:src/config/constants.js:STREAM_LANGUAGES.SUB","ACCESSES",1,"read",0,0
"Function:src/services/anime.service.js:getAnimeDetails","Property:src/config/constants.js:CACHE_TTL.DAY","ACCESSES",1,"read",0,0
"Function:src/services/anime.service.js:getFullDetails","Property:src/config/constants.js:CACHE_TTL.MEDIUM","ACCESSES",1,"read",0,0
"Function:src/services/anime.service.js:validateSearchOptions","Property:src/config/constants.js:SEARCH_LIMITS.MAX_PAGE","ACCESSES",1,"read",0,0
"Function:src/services/anime.service.js:validateSearchOptions","Property:src/config/constants.js:SEARCH_LIMITS.MAX_PAGE","ACCESSES",1,"read",0,0
"Function:src/services/anime.service.js:validateSearchOptions","Property:src/config/constants.js:SEARCH_LIMITS.MAX_PER_PAGE","ACCESSES",1,"read",0,0
"Function:src/services/anime.service.js:validateSearchOptions","Property:src/config/constants.js:SEARCH_LIMITS.MAX_PER_PAGE","ACCESSES",1,"read",0,0
"Function:src/services/anime.service.js:searchAnime","Property:src/config/constants.js:CACHE_TTL.MEDIUM","ACCESSES",1,"read",0,0
"Function:src/services/anime.service.js:getAnimeRecommendations","Property:src/config/constants.js:CACHE_TTL.DAY","ACCESSES",1,"read",0,0
"Function:src/services/anime.service.js:getAnimeSeasons","Property:src/config/constants.js:CACHE_TTL.DAY","ACCESSES",1,"read",0,0
"Function:src/services/home.service.js:getHomeFeed","Property:src/config/constants.js:CACHE_TTL.MEDIUM","ACCESSES",1,"read",0,0
"Function:src/services/jikan.service.js:getAnimeByMalId","Property:src/config/constants.js:CACHE_TTL.DAY","ACCESSES",1,"read",0,0
"Function:src/services/jikan.service.js:getEpisodes","Property:src/config/constants.js:CACHE_TTL.MEDIUM","ACCESSES",1,"read",0,0
"Function:src/services/jikan.service.js:searchAnime","Property:src/config/constants.js:CACHE_TTL.MEDIUM","ACCESSES",1,"read",0,0
"Function:src/services/schedule.service.js:getAiringSchedule","Property:src/config/constants.js:CACHE_TTL.MEDIUM","ACCESSES",1,"read",0,0
"Function:src/services/tmdb.service.js:enrichWithTmdb","Property:src/config/constants.js:CACHE_TTL.DAY","ACCESSES",1,"read",0,0
"Function:src/app.js:createApp","Property:src/config/env.js:schema.CORS_ORIGIN","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/app.js:createApp","Property:src/config/env.js:schema.CORS_ORIGIN","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/config/env.js:loadConfig","Property:src/config/env.js:schema.NODE_ENV","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/config/env.js:loadConfig","Property:src/config/env.js:schema.NODE_ENV","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/controllers/anime.controller.js:detailsController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/anime.controller.js:episodesController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/anime.controller.js:episodesController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider._buildPageVariables.page@238:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/anime.controller.js:recommendationsController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/anime.controller.js:seasonsController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/anime.controller.js:categoryController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider._buildPageVariables.page@238:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/anime.controller.js:categoryController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider._buildPageVariables.perPage@239:6","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/controllers/jikan.controller.js:jikanFromAnilistController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/schedule.controller.js:scheduleController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider._buildPageVariables.page@238:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/search.controller.js:searchController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider._buildPageVariables.page@238:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/search.controller.js:searchController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider._buildPageVariables.perPage@239:6","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/controllers/search.controller.js:searchController","Property:src/middleware/request-logger.js:requestLogger.fn@15:9.fn@19:21.status@23:8","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/search.controller.js:searchController","Property:src/services/category.service.js:resolveCategoryOptions.genre@70:22","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/controllers/search.controller.js:searchController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider._buildPageVariables.sort@240:6","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/controllers/streaming.controller.js:streamResolveController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/streaming.controller.js:streamResolveController","Property:src/streaming/stream-resolver.js:StreamResolver._lookupStream.episode@256:74","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/controllers/streaming.controller.js:streamResolveController","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.language@318:6","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/controllers/tmdb.controller.js:tmdbController","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/identity/id-types.js:createAnimeIdentity","Property:src/identity/id-types.js:createAnimeIdentity.id@73:4","ACCESSES",0.5,"scope-resolution: unique-name property (own-return-shape): write",0,0
"Function:src/identity/id-types.js:createAnimeIdentity","Property:src/identity/id-types.js:createAnimeIdentity.anilistId@74:4","ACCESSES",0.5,"scope-resolution: unique-name property (own-return-shape): write",0,0
"Function:src/identity/id-types.js:createAnimeIdentity","Property:src/identity/id-types.js:createAnimeIdentity.malId@75:4","ACCESSES",0.5,"scope-resolution: unique-name property (own-return-shape): write",0,0
"Function:src/identity/id-types.js:createIdentityResult","Property:src/identity/id-types.js:createIdentityResult.anilistId@138:4","ACCESSES",0.5,"scope-resolution: unique-name property (own-return-shape): write",0,0
"Function:src/identity/id-types.js:createIdentityResult","Property:src/identity/id-types.js:createIdentityResult.malId@139:4","ACCESSES",0.5,"scope-resolution: unique-name property (own-return-shape): write",0,0
"Function:src/identity/id-types.js:createIdentityResult","Property:src/identity/id-types.js:createIdentityResult.source@140:4","ACCESSES",0.5,"scope-resolution: unique-name property (own-return-shape): write",0,0
"Function:src/identity/id-types.js:createIdentityResult","Property:src/identity/id-types.js:createIdentityResult.confidence@141:4","ACCESSES",0.5,"scope-resolution: unique-name property (own-return-shape): write",0,0
"Function:src/identity/identity-resolver.js:isIdentityResult","Property:src/identity/id-types.js:createIdentityResult.resolved@142:4","ACCESSES",0.5,"scope-resolution: unique-name property (imported-file): read",0,0
"Function:src/middleware/error-handler.js:errorHandler","Property:src/utils/logger.js:serializeError.message@30:34","ACCESSES",0.5,"scope-resolution: unique-name property (imported-file): read",0,0
"Function:src/middleware/error-handler.js:errorHandler","Property:src/middleware/request-logger.js:requestLogger.fn@15:9.fn@19:21.method@21:8","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/middleware/error-handler.js:errorHandler","Property:src/errors/app-error.js:AppError.toResponse.code@60:20","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/middleware/not-found.js:notFoundHandler","Property:src/middleware/request-logger.js:requestLogger.fn@15:9.fn@19:21.method@21:8","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/middleware/request-id.js:requestId","Property:src/providers/http-client.js:httpRequest.headers@92:55","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Function:src/middleware/request-id.js:requestId","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): write",0,0
"Function:src/middleware/request-logger.js:requestLogger","Property:src/middleware/request-logger.js:requestLogger.fn@15:9.fn@19:21.method@21:8","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Function:src/normalizers/anime.merge.js:isCanonicalAnime","Property:src/normalizers/anime.merge.js:mergeJikanIntoCanonical.anilistId@124:4","ACCESSES",0.5,"scope-resolution: unique-name property (same-file): read",0,0
"Function:src/normalizers/anime.merge.js:isCanonicalAnime","Property:src/normalizers/anime.merge.js:mergeJikanIntoCanonical.anilistId@124:4","ACCESSES",0.5,"scope-resolution: unique-name property (same-file): read",0,0
"Function:src/normalizers/anime.merge.js:isCanonicalAnime","Property:src/normalizers/anime.merge.js:mergeJikanIntoCanonical.title@129:4","ACCESSES",0.5,"scope-resolution: unique-name property (same-file): read",0,0
"Function:src/normalizers/anime.merge.js:isCanonicalAnime","Property:src/normalizers/anime.merge.js:mergeJikanIntoCanonical.title@129:4","ACCESSES",0.5,"scope-resolution: unique-name property (same-file): read",0,0
