from,to,type,confidence,reason,step,staticGated
"Method:src/identity/identity-resolver.js:IdentityResolver.resolve#1","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveAniListToMalFresh#1","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveMalToAniListFresh#1","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider._requireMedia#2","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.getAnimeByMalId#2","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.getAnimeByMalId#2","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.getEpisodeList#2","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.getEpisodeList#2","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.getEpisodeList#2","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.searchAnime#2","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.searchAnime#2","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.searchAnime#2","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider._validatePagination#2","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/tmdb/tmdb.provider.js:TmdbProvider._search#3","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/tmdb/tmdb.provider.js:TmdbProvider._search#3","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/tmdb/tmdb.provider.js:TmdbProvider._search#3","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/tmdb/tmdb.provider.js:TmdbProvider._details#3","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/tmdb/tmdb.provider.js:TmdbProvider._details#3","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Method:src/providers/tmdb/tmdb.provider.js:TmdbProvider._assertConfigured#0","Class:src/errors/index.js:ProviderError","CALLS",0.85,"import-resolved",0,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","Class:src/errors/index.js:ValidationError","CALLS",0.85,"import-resolved",0,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","Class:src/errors/index.js:NotFoundError","CALLS",0.85,"import-resolved",0,0
