from,to,type,confidence,reason,step,staticGated
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_0_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_0_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/base-provider.js:BaseProvider.request#2","proc_0_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_1_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_1_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/base-provider.js:BaseProvider.request#2","proc_1_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_2_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_2_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/base-provider.js:BaseProvider.request#2","proc_2_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_3_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_3_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/base-provider.js:BaseProvider.request#2","proc_3_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_4_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_4_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/base-provider.js:BaseProvider.request#2","proc_4_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_5_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","proc_5_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/streaming/stream-resolver.js:StreamResolver._fetchAndNormalize#4","proc_5_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_6_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","proc_6_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/streaming/stream-resolver.js:StreamResolver._fetchAndNormalize#4","proc_6_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_7_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_7_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/base-provider.js:BaseProvider.request#2","proc_7_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
"Method:src/providers/base-provider.js:BaseProvider.buildUrl#1","proc_7_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",7,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_8_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","proc_8_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/streaming/stream-resolver.js:StreamResolver._fetchAndNormalize#4","proc_8_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_9_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider._buildSearchVariables#2","proc_9_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider._buildPageVariables#2","proc_9_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_10_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_10_categorycontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.getAnimeByMalId#2","proc_11_detailscontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.getAnimeByMalId#2","proc_12_detailscontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_13_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","proc_13_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/streaming/stream-resolver.js:StreamResolver._fetchAndNormalize#4","proc_13_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_14_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","proc_14_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/streaming/stream-resolver.js:StreamResolver._fetchAndNormalize#4","proc_14_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_15_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","proc_15_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/streaming/stream-resolver.js:StreamResolver._fetchAndNormalize#4","proc_15_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.getAnimeByMalId#2","proc_16_detailscontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.getAnimeByMalId#2","proc_17_detailscontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider._timeoutOptions#0","proc_17_detailscontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_19_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","proc_19_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/streaming/stream-resolver.js:StreamResolver._ttlForStream#1","proc_19_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_26_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","proc_26_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_27_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","proc_27_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/streaming/stream-resolver.js:StreamResolver.resolveStream#1","proc_31_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",2,0
"Method:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse#2","proc_31_streamresolvecontrol","STEP_IN_PROCESS",1,"trace-detection",3,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_33_topsearchcontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_33_topsearchcontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/base-provider.js:BaseProvider.request#2","proc_33_topsearchcontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_34_topsearchcontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_34_topsearchcontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/base-provider.js:BaseProvider.request#2","proc_34_topsearchcontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.searchAnime#2","proc_35_topsearchcontroller","STEP_IN_PROCESS",1,"trace-detection",4,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","proc_35_topsearchcontroller","STEP_IN_PROCESS",1,"trace-detection",5,0
"Method:src/providers/base-provider.js:BaseProvider.request#2","proc_35_topsearchcontroller","STEP_IN_PROCESS",1,"trace-detection",6,0
