from,to,type,confidence,reason,step,staticGated
"Method:src/errors/app-error.js:AppError.constructor#2","Property:src/errors/app-error.js:ERROR_CODES.INTERNAL","ACCESSES",1,"read",0,0
"Method:src/errors/index.js:ValidationError.constructor#2","Property:src/errors/app-error.js:ERROR_CODES.VALIDATION","ACCESSES",1,"read",0,0
"Method:src/errors/index.js:NotFoundError.constructor#2","Property:src/errors/app-error.js:ERROR_CODES.NOT_FOUND","ACCESSES",1,"read",0,0
"Method:src/errors/index.js:NotImplementedError.constructor#2","Property:src/errors/app-error.js:ERROR_CODES.NOT_IMPLEMENTED","ACCESSES",1,"read",0,0
"Method:src/errors/index.js:ProviderError.constructor#2","Property:src/errors/app-error.js:ERROR_CODES.PROVIDER","ACCESSES",1,"read",0,0
"Method:src/errors/index.js:TimeoutError.constructor#2","Property:src/errors/app-error.js:ERROR_CODES.TIMEOUT","ACCESSES",1,"read",0,0
"Method:src/errors/index.js:RateLimitError.constructor#2","Property:src/errors/app-error.js:ERROR_CODES.RATE_LIMIT","ACCESSES",1,"read",0,0
"Method:src/errors/index.js:CacheError.constructor#2","Property:src/errors/app-error.js:ERROR_CODES.CACHE","ACCESSES",1,"read",0,0
"Method:src/errors/index.js:InternalError.constructor#2","Property:src/errors/app-error.js:ERROR_CODES.INTERNAL","ACCESSES",1,"read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver.resolveAniListToMal#1","Property:src/config/constants.js:CACHE_TTL.DAY","ACCESSES",1,"read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver.resolveMalToAniList#1","Property:src/config/constants.js:CACHE_TTL.DAY","ACCESSES",1,"read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveAniListToMalFresh#1","Property:src/config/constants.js:CACHE_TTL.DAY","ACCESSES",1,"read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveMalToAniListFresh#1","Property:src/config/constants.js:CACHE_TTL.DAY","ACCESSES",1,"read",0,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.constructor#1","Property:src/config/constants.js:PROVIDERS.ANILIST","ACCESSES",1,"read",0,0
"Method:src/providers/jikan/jikan.provider.js:JikanProvider.constructor#1","Property:src/config/constants.js:PROVIDERS.JIKAN","ACCESSES",1,"read",0,0
"Method:src/providers/megaplay/megaplay.provider.js:MegaplayProvider.constructor#0","Property:src/config/constants.js:PROVIDERS.MEGAPLAY","ACCESSES",1,"read",0,0
"Method:src/providers/megaplay/megaplay.provider.js:MegaplayProvider.resolveByAnilistId#2","Property:src/config/constants.js:STREAM_LANGUAGES.SUB","ACCESSES",1,"read",0,0
"Method:src/providers/megaplay/megaplay.provider.js:MegaplayProvider.resolveByMalId#2","Property:src/config/constants.js:STREAM_LANGUAGES.SUB","ACCESSES",1,"read",0,0
"Method:src/providers/tmdb/tmdb.provider.js:TmdbProvider.constructor#1","Property:src/config/constants.js:PROVIDERS.TMDB","ACCESSES",1,"read",0,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","Property:src/config/constants.js:STREAM_CACHE_TTL.STREAM","ACCESSES",1,"read",0,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","Property:src/config/constants.js:STREAM_CACHE_TTL.STREAM","ACCESSES",1,"read",0,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","Property:src/config/constants.js:STREAM_CACHE_TTL.NO_RESULT","ACCESSES",1,"read",0,0
"Method:src/streaming/stream-resolver.js:StreamResolver._lookupStream#4","Property:src/config/constants.js:STREAM_CACHE_TTL.NO_RESULT","ACCESSES",1,"read",0,0
"Method:src/streaming/stream-resolver.js:StreamResolver._ttlForStream#1","Property:src/config/constants.js:STREAM_CACHE_TTL.STREAM","ACCESSES",1,"read",0,0
"Method:src/streaming/stream-resolver.js:StreamResolver._ttlForStream#1","Property:src/config/constants.js:STREAM_CACHE_TTL.STREAM","ACCESSES",1,"read",0,0
"Method:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse#2","Property:src/config/constants.js:PROVIDERS.MEGAPLAY","ACCESSES",1,"read",0,0
"Method:src/errors/app-error.js:AppError.toResponse#0","Property:src/errors/app-error.js:AppError.toResponse.code@60:20","ACCESSES",0.55,"scope-resolution: read",0,0
"Method:src/errors/app-error.js:AppError.toResponse#0","Property:src/errors/app-error.js:AppError.toResponse.message@60:37","ACCESSES",0.55,"scope-resolution: read",0,0
"Method:src/errors/app-error.js:AppError.constructor#2","Property:src/utils/logger.js:serializeError.name@30:16","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): write",0,0
"Method:src/errors/app-error.js:AppError.constructor#2","Property:src/errors/app-error.js:AppError.toResponse.code@60:20","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): write",0,0
"Method:src/errors/index.js:ProviderError.constructor#2","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): write",0,0
"Method:src/errors/index.js:TimeoutError.constructor#2","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): write",0,0
"Method:src/errors/index.js:RateLimitError.constructor#2","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): write",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver.constructor#1","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): write",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver.resolveAniListToMal#1","Property:src/identity/id-types.js:createIdentityResult.resolved@142:4","ACCESSES",0.5,"scope-resolution: unique-name property (imported-file): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver.resolve#1","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver.resolve#1","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveAniListToMalFresh#1","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveAniListToMalFresh#1","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveAniListToMalFresh#1","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveAniListToMalFresh#1","Property:src/utils/logger.js:serializeError.name@30:16","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveAniListToMalFresh#1","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveAniListToMalFresh#1","Property:src/utils/logger.js:serializeError.name@30:16","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveAniListToMalFresh#1","Property:src/identity/id-types.js:createIdentityResult.resolved@142:4","ACCESSES",0.5,"scope-resolution: unique-name property (imported-file): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveMalToAniListFresh#1","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveMalToAniListFresh#1","Property:src/providers/anilist/anilist.provider.js:AnilistProvider.getRecommendations.id@166:24","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveMalToAniListFresh#1","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveMalToAniListFresh#1","Property:src/utils/logger.js:serializeError.name@30:16","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveMalToAniListFresh#1","Property:src/streaming/stream-resolver.js:StreamResolver._toStreamResponse.provider@313:6","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/identity/identity-resolver.js:IdentityResolver._resolveMalToAniListFresh#1","Property:src/utils/logger.js:serializeError.name@30:16","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.constructor#1","Property:src/config/env.js:schema.ANILIST_API_URL","ACCESSES",0.5,"scope-resolution: unique-name property (workspace-unique): read",0,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","Property:src/utils/logger.js:serializeError.name@30:16","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","Property:src/middleware/request-logger.js:requestLogger.fn@15:9.fn@19:21.status@23:8","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
"Method:src/providers/anilist/anilist.provider.js:AnilistProvider.executeQuery#2","Property:src/utils/logger.js:serializeError.name@30:16","ACCESSES",0.5,"scope-resolution: unique-name property (ranked): read",0,0
