id,name,filePath,responseKeys,errorKeys,middleware,method,handlerSymbolId,runtimeConfirmed,runtimeSource,runtimeStatus
"Route:GET /tmdb/:id","/tmdb/:id","src/routes/tmdb.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /health","/health","src/routes/health.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /search","/search","src/routes/search.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /top-search","/top-search","src/routes/search.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /details/:id","/details/:id","src/routes/anime.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /smart/details/:id","/smart/details/:id","src/routes/anime.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /episodes/:id","/episodes/:id","src/routes/anime.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /recommendations/:id","/recommendations/:id","src/routes/anime.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /seasons/:id","/seasons/:id","src/routes/anime.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /category/:type","/category/:type","src/routes/anime.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /home","/home","src/routes/home.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /schedule","/schedule","src/routes/home.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /stream/resolve/:id","/stream/resolve/:id","src/routes/streaming.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /jikan/anime/:malId","/jikan/anime/:malId","src/routes/jikan.routes.js","[]","[]","[]","GET","",false,"",""
"Route:GET /jikan/from-anilist/:id","/jikan/from-anilist/:id","src/routes/jikan.routes.js","[]","[]","[]","GET","",false,"",""
